Node: 0 Time: 0s Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.63.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.64.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.64.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.65.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.65.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.12.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.13.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.14.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.96.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.97.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.98.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.99.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.100.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.101.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.102.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.103.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.104.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.105.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.76.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.77.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.78.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.79.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.80.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.81.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.82.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.83.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.84.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.85.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.14.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.15.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.106.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.107.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.108.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.109.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.110.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.111.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.112.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.113.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.114.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.115.1      10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.86.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.87.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.88.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.89.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.90.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.91.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.92.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.93.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.94.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.95.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.96.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.97.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.98.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.99.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
